interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,version
TGFB1_TGFBR1_TGFBR2,TGFb,Tgfb1,Tgfbr1;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB2_TGFBR1_TGFBR2,TGFb,Tgfb2,Tgfbr1;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB3_TGFBR1_TGFBR2,TGFb,Tgfb3,Tgfbr1;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1B_TGFBR2,TGFb,Tgfb1,Acvr1b;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1C_TGFBR2,TGFb,Tgfb1,Acvr1c;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1B_TGFBR2,TGFb,Tgfb2,Acvr1b;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1C_TGFBR2,TGFb,Tgfb2,Acvr1c;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1B_TGFBR2,TGFb,Tgfb3,Acvr1b;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1C_TGFBR2,TGFb,Tgfb3,Acvr1c;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1_TGFBR1,TGFb,Tgfb1,Acvr1;Tgfbr1;Tgfbr2,,,,,Secreted Signaling,CellChatDB v1
